[2025-06-09 19:02:36] icloud: 1s, transferred: 0, failed: 0, status: success
[2025-06-09 20:30:06] icloud: 6s, transferred: 0, failed: 0, status: success
[2025-06-09 20:32:38] google_drive: 2s, transferred: 0, failed: 0, status: success
[2025-06-09 21:30:02] icloud: 1s, transferred: 0, failed: 0, status: success
[2025-06-09 21:32:34] google_drive: 1s, transferred: 0, failed: 0, status: success
[2025-06-09 22:30:03] icloud: 2s, transferred: 0, failed: 0, status: success
[2025-06-09 22:32:35] google_drive: 2s, transferred: 0, failed: 0, status: success
[2025-06-21 19:00:40] icloud: 884s, transferred: 0, failed: 0, status: success
[2025-06-21 19:25:41] icloud: 2s, transferred: 0, failed: 0, status: success
[2025-06-21 19:28:13] google_drive: 2s, transferred: 0, failed: 0, status: success
[2025-06-22 14:50:43] google_drive: 175s, transferred: 0, failed: 0, status: success
[2025-06-22 15:00:29] icloud: 8s, transferred: 0, failed: 0, status: success
[2025-06-22 15:54:00] icloud: 8s, transferred: 0, failed: 0, status: success
[2025-06-22 15:56:31] google_drive: 0s, transferred: 0, failed: 0, status: success
[2025-06-22 18:33:25] icloud: 7s, transferred: 0, failed: 0, status: success
[2025-06-22 18:35:55] google_drive: 0s, transferred: 0, failed: 0, status: success
